fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
2,20.8396,-156.418,1.5,6.48,2016-10-28,2016-11-02,6,0.57,0.25,0.8000000238418581,2
4,20.6271,-156.247,18.65,30.56,2016-02-16,2016-02-20,5,2.68,3.73,-0.20000005066394877,2
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1,0.79,0.86,0.8000000238418581,2
8,41.8938,-122.979,20.37,40.74,2016-08-28,2016-09-12,16,1.49,1.27,0.0,2
2,20.8396,-156.418,1.5,6.48,2016-10-28,2016-11-02,6,0.57,0.25,36.90000025033949,245
4,20.6271,-156.247,18.65,30.56,2016-02-16,2016-02-20,5,2.68,3.73,130.90000565201052,236
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1,0.79,0.86,-2.299999964237226,226
14,41.6771,-121.822,0.21,1.85,2016-06-21,2016-06-21,1,0.46,0.21,-49.20000151097773,1113
20,41.3604,-122.182,0.21,1.85,2016-06-25,2016-06-25,1,0.46,0.21,-157.40000386387172,538
22,41.3521,-122.161,0.21,1.85,2016-06-09,2016-06-09,1,0.46,0.21,2.7999994724988615,248
26,41.2729,-120.056,0.43,2.78,2016-07-15,2016-07-18,4,0.31,0.11,24.300000210106337,608
30,41.1688,-120.158,0.21,1.85,2016-05-16,2016-05-16,1,0.46,0.21,-45.20000109374522,219
32,40.8104,-119.633,20.79,36.11,2016-07-30,2016-08-03,5,2.09,4.16,-326.90000816285453,1811
34,40.5521,-121.413,0.21,1.85,2016-05-05,2016-05-05,1,0.46,0.21,-770.8000244542959,1002
