fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
840186,-30.002,115.2966,1.71,8.33,2016-03-18,2016-03-23,6,1.59,0.29,"Coorow, WA, Australia",Western Australia,WA,
840188,-30.3645,115.1953,1.29,6.48,2016-05-03,2016-05-05,3,0.82,0.43,"Dandaragan, WA, Australia",Western Australia,WA,
840190,-30.4437,115.6319,0.21,1.85,2016-03-27,2016-03-27,1,0.46,0.21,"Dandaragan, WA, Australia",Western Australia,WA,
840192,-30.652,116.0789,0.21,1.85,2016-03-30,2016-03-30,1,0.46,0.21,"Moora, WA, Australia",Western Australia,WA,
840194,-30.7104,115.2185,57.88,82.41,2016-01-25,2016-02-04,11,3.34,5.26,"Dandaragan, WA, Australia",Western Australia,WA,
840196,-30.7187,115.277,24.65,52.78,2016-01-27,2016-02-02,7,2.04,3.52,"Dandaragan, WA, Australia",Western Australia,WA,
840198,-30.7104,116.0715,5.79,16.67,2016-03-23,2016-03-31,9,1.9,0.64,"Moora, WA, Australia",Western Australia,WA,
840200,-30.6895,116.0561,0.21,1.85,2016-03-27,2016-03-27,1,0.46,0.21,"Moora, WA, Australia",Western Australia,WA,
840202,-30.702,116.2117,0.86,5.56,2016-03-23,2016-03-31,9,0.66,0.1,"Moora, WA, Australia",Western Australia,WA,
840204,-30.7479,115.8452,9.86,37.97,2016-03-26,2016-03-29,4,2.6,2.47,"Dandaragan, WA, Australia",Western Australia,WA,
840206,-30.7229,116.0817,0.64,3.7,2016-03-23,2016-03-29,7,0.42,0.09,"Moora, WA, Australia",Western Australia,WA,
840208,-30.7479,116.1651,0.21,1.85,2016-03-25,2016-03-25,1,0.46,0.21,"Moora, WA, Australia",Western Australia,WA,
840210,-30.7604,116.1657,0.21,1.85,2016-03-27,2016-03-27,1,0.46,0.21,"Moora, WA, Australia",Western Australia,WA,
840212,-30.7645,115.8264,0.21,1.85,2016-03-26,2016-03-26,1,0.46,0.21,"Dandaragan, WA, Australia",Western Australia,WA,
840214,-30.7687,116.1466,0.64,3.7,2016-03-27,2016-03-27,1,0.53,0.64,"Moora, WA, Australia",Western Australia,WA,
840216,-30.8437,116.4703,0.43,3.7,2016-03-20,2016-03-20,1,0.46,0.43,"Wongan-Ballidu, WA, Australia",Western Australia,WA,
840218,-30.9229,116.2071,3.22,9.26,2016-03-21,2016-03-31,11,0.64,0.29,"Victoria Plains, WA, Australia",Western Australia,WA,
