fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
2,20.8396,-156.418,1.5,6.48,2016-10-28,2016-11-02,6,0.57,0.25,"Maui County, HI, USA",Hawaii,HI,-0.30000001192092896,0.699999988079071,2
4,20.6271,-156.247,18.65,30.56,2016-02-16,2016-02-20,5,2.68,3.73,"Maui County, HI, USA",Hawaii,HI,0,0,0
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1,0.79,0.86,"Klamath County, OR, USA",Oregon,OR,-0.10000000149011612,1.600000023841858,6
8,41.8938,-122.979,20.37,40.74,2016-08-28,2016-09-12,16,1.49,1.27,"Siskiyou County, CA, USA",California,CA,0.0,4.599999904632568,17
10,41.8688,-123.031,6.65,17.59,2016-08-28,2016-09-06,10,1.46,0.66,"Siskiyou County, CA, USA",California,CA,0.0,4.599999904632568,16
12,41.9063,-122.964,7.72,17.59,2016-08-31,2016-09-12,13,1.37,0.59,"Siskiyou County, CA, USA",California,CA,0.0,3.5999999046325684,14
14,41.6771,-121.822,0.21,1.85,2016-06-21,2016-06-21,1,0.46,0.21,"Siskiyou County, CA, USA",California,CA,-0.20000000298023224,262.29998779296875,573
16,41.4188,-122.136,0.21,1.85,2016-06-29,2016-06-29,1,0.46,0.21,"Siskiyou County, CA, USA",California,CA,-0.10000000149011612,25.5,53
18,41.4021,-120.261,0.21,1.85,2016-05-05,2016-05-05,1,0.46,0.21,"Modoc County, CA, USA",California,CA,-0.20000000298023224,5.599999904632568,14
20,41.3604,-122.182,0.21,1.85,2016-06-25,2016-06-25,1,0.46,0.21,"Siskiyou County, CA, USA",California,CA,-0.30000001192092896,280.29998779296875,524
22,41.3521,-122.161,0.21,1.85,2016-06-09,2016-06-09,1,0.46,0.21,"Siskiyou County, CA, USA",California,CA,-0.20000000298023224,1.600000023841858,2
24,41.3188,-120.234,0.21,1.85,2016-05-04,2016-05-04,1,0.46,0.21,"Modoc County, CA, USA",California,CA,-0.20000000298023224,4.199999809265137,9
26,41.2729,-120.056,0.43,2.78,2016-07-15,2016-07-18,4,0.31,0.11,"Modoc County, CA, USA",California,CA,-0.10000000149011612,2.799999952316284,10
28,41.1979,-120.167,0.43,2.78,2016-05-05,2016-05-09,5,0.29,0.09,"Modoc County, CA, USA",California,CA,-0.20000000298023224,5.900000095367432,15
30,41.1688,-120.158,0.21,1.85,2016-05-16,2016-05-16,1,0.46,0.21,"Lassen County, CA, USA",California,CA,-0.10000000149011612,0.8999999761581421,3
32,40.8104,-119.633,20.79,36.11,2016-07-30,2016-08-03,5,2.09,4.16,"Washoe County, NV, USA",Nevada,NV,-0.10000000149011612,14.5,91
34,40.5521,-121.413,0.21,1.85,2016-05-05,2016-05-05,1,0.46,0.21,"Shasta County, CA, USA",California,CA,-0.20000000298023224,5.599999904632568,14
36,40.5438,-121.305,1.07,7.41,2016-05-02,2016-05-05,4,1.2,0.27,"Lassen County, CA, USA",California,CA,-0.20000000298023224,5.599999904632568,14
38,40.5271,-121.439,0.86,4.63,2016-05-04,2016-05-06,3,0.72,0.29,"Shasta County, CA, USA",California,CA,-0.20000000298023224,5.599999904632568,14
40,40.5229,-121.322,0.43,3.7,2016-05-10,2016-05-13,4,0.8,0.11,"Lassen County, CA, USA",California,CA,-0.20000000298023224,5.099999904632568,14
42,40.5229,-121.443,0.21,1.85,2016-05-03,2016-05-03,1,0.46,0.21,"Shasta County, CA, USA",California,CA,-0.10000000149011612,0.699999988079071,1
