fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
2,20.8396,-156.418,1.5,6.48,2016-10-28,2016-11-02,6,0.57,0.25,14.600000606477266,250
4,20.6271,-156.247,18.65,30.56,2016-02-16,2016-02-20,5,2.68,3.73,90.30000596195474,236
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1,0.79,0.86,1.7999998077750092,227
8,41.8938,-122.979,20.37,40.74,2016-08-28,2016-09-12,16,1.49,1.27,18.599999704956993,2933
10,41.8688,-123.031,6.65,17.59,2016-08-28,2016-09-06,10,1.46,0.66,20.500000283122052,2170
12,41.9063,-122.964,7.72,17.59,2016-08-31,2016-09-12,13,1.37,0.59,18.599999704956993,2214
14,41.6771,-121.822,0.21,1.85,2016-06-21,2016-06-21,1,0.46,0.21,-14.000000089406981,1114
16,41.4188,-122.136,0.21,1.85,2016-06-29,2016-06-29,1,0.46,0.21,25.900000339746487,354
18,41.4021,-120.261,0.21,1.85,2016-05-05,2016-05-05,1,0.46,0.21,-85.5000018328429,1002
20,41.3604,-122.182,0.21,1.85,2016-06-25,2016-06-25,1,0.46,0.21,-4.5000006183981975,538
24,41.3188,-120.234,0.21,1.85,2016-05-04,2016-05-04,1,0.46,0.21,-174.10000164955852,1706
26,41.2729,-120.056,0.43,2.78,2016-07-15,2016-07-18,4,0.31,0.11,1.3999999821185956,608
28,41.1979,-120.167,0.43,2.78,2016-05-05,2016-05-09,5,0.29,0.09,-80.50000267475852,4630
30,41.1688,-120.158,0.21,1.85,2016-05-16,2016-05-16,1,0.46,0.21,-21.900000488758096,219
32,40.8104,-119.633,20.79,36.11,2016-07-30,2016-08-03,5,2.09,4.16,-21.200000169873253,1816
34,40.5521,-121.413,0.21,1.85,2016-05-05,2016-05-05,1,0.46,0.21,-65.20000117570166,1002
36,40.5438,-121.305,1.07,7.41,2016-05-02,2016-05-05,4,1.2,0.27,-123.70000284463177,3090
38,40.5271,-121.439,0.86,4.63,2016-05-04,2016-05-06,3,0.72,0.29,-130.90000326037418,3842
42,40.5229,-121.443,0.21,1.85,2016-05-03,2016-05-03,1,0.46,0.21,-9.900000816583644,220
44,40.5104,-121.453,0.21,1.85,2016-05-06,2016-05-06,1,0.46,0.21,-96.70000507235534,1133
46,40.4938,-121.346,0.64,4.63,2016-06-03,2016-06-03,1,0.89,0.64,-6.400001986324838,115
48,40.0479,-119.863,55.31,70.38,2016-07-29,2016-08-04,7,3.41,7.9,-27.000000149011615,2499
50,40.0229,-119.917,7.93,15.74,2016-07-29,2016-07-31,3,2.4,2.64,-6.899999959766862,902
52,39.9979,-119.83,4.5,10.19,2016-07-31,2016-08-02,3,1.43,1.5,-6.499999873340142,1164
54,39.9188,-119.935,8.36,15.74,2016-07-29,2016-07-31,3,1.41,2.79,-3.200000020861622,902
56,39.8854,-119.888,6.65,20.37,2016-07-29,2016-07-31,3,3.42,2.22,-17.40000019073487,902
58,39.7604,-119.941,4.07,11.11,2016-08-07,2016-08-09,3,1.91,1.36,2.2999993085860915,728
60,39.6313,-121.978,1.29,6.48,2016-11-27,2016-12-05,9,0.74,0.14,-30.600001254677778,2577
62,39.6021,-122.057,2.14,9.26,2016-10-01,2016-10-17,17,1.56,0.13,-14.000002592802112,1255
68,39.5396,-122.044,1.29,9.26,2016-10-01,2016-10-02,2,1.57,0.64,-108.00001113116768,180
72,39.4104,-121.925,2.14,7.41,2016-09-23,2016-10-01,9,0.95,0.24,-10.199999469518662,1069
74,39.3313,-117.769,15.65,25.93,2016-07-21,2016-07-24,4,3.37,3.91,-56.90000161379579,1774
76,39.2438,-119.876,0.64,3.7,2016-10-09,2016-10-19,11,0.43,0.06,-16.400000488758113,775
84,39.1979,-122.233,3.22,14.82,2016-03-25,2016-04-12,19,1.12,0.17,1.5999990865588267,1361
86,38.9563,-120.846,19.94,28.71,2016-06-28,2016-07-06,9,1.96,2.22,-0.3000000387430237,2747
90,38.9438,-120.856,0.21,1.85,2016-06-29,2016-06-29,1,0.46,0.21,0.799999852478503,352
